#     HJD               B           errB
2459695.74493282      14.5113       0.0054
2459695.74699281      14.4997       0.0054
2459695.74904122      14.4824       0.0054
2459695.75110121      14.4747       0.0054
2459695.75314962      14.4755       0.0054
2459695.75520961      14.4565       0.0054
2459930.78030689      14.4461       0.0054
2459930.78236717      14.4297       0.0054
2459930.78442746      14.4271       0.0054
2459930.78648774      14.4247       0.0054
2459930.78854802      14.4219       0.0054
2459930.79060831      14.4157       0.0054
2459930.79266859      14.4244       0.0054
2459930.79678916      14.3926       0.0054
2459930.79884944      14.4250       0.0054
2459930.80090972      14.4309       0.0054
2459930.80297001      14.4222       0.0054
2459930.80503029      14.4433       0.0054
2459930.80710215      14.4479       0.0054
2459930.80916243      14.4430       0.0054
2459930.81122271      14.4544       0.0054
2459930.81328300      14.4595       0.0054
2459930.81534328      14.4791       0.0067
2459930.81740356      14.4828       0.0067
2459930.81946385      14.5042       0.0054
2459930.82152413      14.5055       0.0054
2459930.82564470      14.5280       0.0067
2459930.82770498      14.5431       0.0054
2459930.82977684      14.5491       0.0067
2459930.83183712      14.5672       0.0063
2459930.83389741      14.5717       0.0067
2459930.83595769      14.5933       0.0076
2459930.83801797      14.6087       0.0067
2459930.84007826      14.6333       0.0067
2459930.84213854      14.6480       0.0063
2459930.84419882      14.6640       0.0067
2459930.84627068      14.6719       0.0076
2459930.84833096      14.6862       0.0076
2459930.85039125      14.7072       0.0067
2459930.85245153      14.7098       0.0067
2459930.85451181      14.7220       0.0067
2459930.85658367      14.7339       0.0076
2459930.85864395      14.7209       0.0067
2459930.86070424      14.7335       0.0054
2459930.86276452      14.7208       0.0054
2459930.86482480      14.7092       0.0054
2459930.86688509      14.7026       0.0054
2459930.86894537      14.6927       0.0054
2459930.87100565      14.6728       0.0054
2459930.87307751      14.6541       0.0054
2459930.87513779      14.6420       0.0054
2459930.87719808      14.6267       0.0063
2459930.87925836      14.6053       0.0063
2459930.88339050      14.5838       0.0054
2459930.88545078      14.5731       0.0067
2459930.88751107      14.5632       0.0054
2459930.88957135      14.5614       0.0054
2459930.89163163      14.5208       0.0054
2459930.89370349      14.5222       0.0054
2459930.89576377      14.5124       0.0054
2459930.89782406      14.5122       0.0054
2459930.89988434      14.4970       0.0054
2459930.90195620      14.4889       0.0054
2459930.90401648      14.4810       0.0054
2459930.90607676      14.4722       0.0054
2459930.90814862      14.4567       0.0054
2459930.91020891      14.4531       0.0054
2459930.91226919      14.4430       0.0054
2459930.91432947      14.4421       0.0054
2459930.91640133      14.4378       0.0054
2459930.91846161      14.4342       0.0054
2459930.92052189      14.4352       0.0054
2459930.92486238      14.4317       0.0054
2459930.92692266      14.4372       0.0054
2459930.92899452      14.4371       0.0054
2459930.93105480      14.4357       0.0054
2459930.93311509      14.4389       0.0054
2459930.93518694      14.4471       0.0054
2459930.93724723      14.4612       0.0054
2459930.93930751      14.4575       0.0054
2459930.94137937      14.4702       0.0054
2459930.94343965      14.4735       0.0054
2459930.94549993      14.4888       0.0054
2459930.94757179      14.5008       0.0054
2459930.94963207      14.5112       0.0054
2459930.95169236      14.5142       0.0054
2459930.95376421      14.5279       0.0054
2459930.95582450      14.5333       0.0054
2459930.95789636      14.5474       0.0054
2459930.95995664      14.5619       0.0054
2459930.96201692      14.5816       0.0054
2459930.96408878      14.5954       0.0063
2459930.96614906      14.5901       0.0067
2459930.96820934      14.6182       0.0063
2459930.97028120      14.6240       0.0063
2459930.97234148      14.6323       0.0063
2459930.97440177      14.6392       0.0063
2459930.97647362      14.6470       0.0063
2459930.97853391      14.6510       0.0054
2459930.98059419      14.6595       0.0054
2459930.98266605      14.6580       0.0063
2459930.98472633      14.6581       0.0054
2459930.98679819      14.6557       0.0054
2459930.98885847      14.6492       0.0054
2459930.99091875      14.6420       0.0063
2459930.99299061      14.6365       0.0054
2459930.99505089      14.6205       0.0063
2459930.99711118      14.6006       0.0063
2459930.99918303      14.5996       0.0054
2459931.00124332      14.5816       0.0054
2459931.00330360      14.5680       0.0054
2459931.00537546      14.5567       0.0054
2459931.00744731      14.5517       0.0054
2459931.00950760      14.5358       0.0054
2459931.01157945      14.5277       0.0054
2459931.01363974      14.5170       0.0054
2459931.01570002      14.5034       0.0054
2459931.01777188      14.4893       0.0054
2459931.01983216      14.4795       0.0054
2459931.02189244      14.4731       0.0054
2459931.02396430      14.4618       0.0054
2459931.02602458      14.4495       0.0054
2459931.02809644      14.4479       0.0054
2459931.03015672      14.4315       0.0054
2459931.03221700      14.4292       0.0054
2459931.03408052      14.4260       0.0067
2459931.03615238      14.4207       0.0067
2459931.03821266      14.4160       0.0067
2459931.04028452      14.4091       0.0067
2459931.04234480      14.4245       0.0076
2459931.04440508      14.4080       0.0076
2459931.04647694      14.4044       0.0089
2459931.04853722      14.3881       0.0076
2459931.05060908      14.4178       0.0067
2459931.05266936      14.4272       0.0067
2459931.05474122      14.4038       0.0076
2459931.05681308      14.4274       0.0076
2459931.05887336      14.4247       0.0076
2460339.62667899      14.4643       0.0054
2460339.62893576      14.4622       0.0045
2460339.63119172      14.4581       0.0045
2460339.63345032      14.4328       0.0045
2460339.63570721      14.4284       0.0045
2460339.63796518      14.4310       0.0045
2460339.64022636      14.4216       0.0045
2460339.64248161      14.4117       0.0045
2460339.64473895      14.4159       0.0045
2460339.64699971      14.4132       0.0045
2460339.64925743      14.4158       0.0045
2460339.65151482      14.4183       0.0045
2460339.65377321      14.4231       0.0045
2460339.65603033      14.4283       0.0045
2460339.65828914      14.4353       0.0045
2460339.66054466      14.4413       0.0045
2460339.66280157      14.4325       0.0045
2460339.66505923      14.4535       0.0045
2460339.66731676      14.4692       0.0045
2460339.66957335      14.4815       0.0045
2460339.67183260      14.4882       0.0045
2460339.67409120      14.4910       0.0045
2460339.67634850      14.5097       0.0045
2460339.67860699      14.5141       0.0045
2460339.68086375      14.5377       0.0045
2460339.68312232      14.5410       0.0045
2460339.68538238      14.5589       0.0045
2460339.68763947      14.5688       0.0045
2460339.68989899      14.5860       0.0045
2460339.69215768      14.6070       0.0045
2460339.69441678      14.6271       0.0045
2460339.69667579      14.6411       0.0045
2460339.69893259      14.6650       0.0054
2460339.70119192      14.6722       0.0054
2460339.70345343      14.6838       0.0054
2460339.70571421      14.6985       0.0054
2460339.70797441      14.7067       0.0054
2460339.71024112      14.7147       0.0054
2460339.71249105      14.7179       0.0054
2460339.71475031      14.7026       0.0054
2460339.71700896      14.7000       0.0054
2460339.71926787      14.6786       0.0054
