#     HJD               I           errI
2459930.81600882      12.7855       0.0036
2459930.81806910      12.7958       0.0045
2459930.82014096      12.8095       0.0045
2459930.82220125      12.8147       0.0036
2459930.82426153      12.8165       0.0045
2459930.82632181      12.8397       0.0045
2459930.82838210      12.8403       0.0036
2459930.83044238      12.8507       0.0045
2459930.83250266      12.8656       0.0045
2459930.83456295      12.8724       0.0058
2459930.83663480      12.8890       0.0045
2459930.83869509      12.9061       0.0045
2459930.84075537      12.9071       0.0045
2459930.84281565      12.9248       0.0045
2459930.84487594      12.9331       0.0045
2459930.84693622      12.9522       0.0045
2459930.84899650      12.9600       0.0054
2459930.85106836      12.9836       0.0058
2459930.85312865      12.9874       0.0045
2459930.85518893      12.9862       0.0054
2459930.85724921      12.9996       0.0045
2459930.85930949      12.9993       0.0045
2459930.86138135      12.9952       0.0045
2459930.86344164      12.9822       0.0045
2459930.86550192      12.9720       0.0045
2459930.86756220      12.9654       0.0045
2459930.86962249      12.9583       0.0045
2459930.87168277      12.9449       0.0045
2459930.87374305      12.9284       0.0045
2459930.87581491      12.9110       0.0045
2459930.87787519      12.9055       0.0045
2459930.87993548      12.8938       0.0045
2459930.88199576      12.8824       0.0036
2459930.88405604      12.8715       0.0045
2459930.88612790      12.8476       0.0045
2459930.88818818      12.8437       0.0036
2459930.89024847      12.8455       0.0045
2459930.89230875      12.8335       0.0036
2459930.89436903      12.8189       0.0036
2459930.89644089      12.8197       0.0045
2459930.89850117      12.8130       0.0036
2459930.90056146      12.7976       0.0036
2459930.90262174      12.7882       0.0036
2459930.90469360      12.7844       0.0036
2459930.90675388      12.7761       0.0036
2459930.90881416      12.7627       0.0036
2459930.91088602      12.7549       0.0036
2459930.91294630      12.7564       0.0036
2459930.91500659      12.7544       0.0036
2459930.91706687      12.7479       0.0036
2459930.91913873      12.7514       0.0036
2459930.92119901      12.7506       0.0036
2459930.92347921      12.7493       0.0036
2459930.92553949      12.7466       0.0036
2459930.92759978      12.7512       0.0036
2459930.92966006      12.7559       0.0036
2459930.93173192      12.7605       0.0036
2459930.93379220      12.7586       0.0036
2459930.93586406      12.7652       0.0036
2459930.93792434      12.7709       0.0036
2459930.93998463      12.7803       0.0036
2459930.94204491      12.7813       0.0045
2459930.94411677      12.7886       0.0036
2459930.94617705      12.7971       0.0036
2459930.94824891      12.8068       0.0036
2459930.95030919      12.8155       0.0036
2459930.95236947      12.8204       0.0036
2459930.95442975      12.8318       0.0036
2459930.95650161      12.8392       0.0036
2459930.95856189      12.8506       0.0036
2459930.96063375      12.8610       0.0045
2459930.96269404      12.8764       0.0045
2459930.96475432      12.8863       0.0045
2459930.96682618      12.8966       0.0045
2459930.96888646      12.9118       0.0045
2459930.97095832      12.9208       0.0045
2459930.97301860      12.9245       0.0045
2459930.97507888      12.9350       0.0045
2459930.97715074      12.9479       0.0045
2459930.97921102      12.9450       0.0045
2459930.98127130      12.9573       0.0045
2459930.98334316      12.9589       0.0045
2459930.98540345      12.9500       0.0045
2459930.98746373      12.9533       0.0045
2459930.98953559      12.9457       0.0045
2459930.99159587      12.9365       0.0045
2459930.99365615      12.9240       0.0045
2459930.99572801      12.9195       0.0045
2459930.99778829      12.9015       0.0045
2459930.99984857      12.8906       0.0045
2459931.00192043      12.8753       0.0045
2459931.00399229      12.8682       0.0036
