#     HJD               V         errV
2459712.84817244      14.9052       0.0082
2459712.85022104      14.9084       0.0082
2459712.85228121      14.9213       0.0082
2459712.85432981      14.8992       0.0082
2459712.85637841      14.9138       0.0082
2459712.85843858      14.9064       0.0082
2459712.86048718      14.9164       0.0082
2459712.86254735      14.9030       0.0082
2459712.86460752      14.9027       0.0082
2459712.86665612      14.9001       0.0082
2459712.86870472      14.8936       0.0082
2459712.87076489      14.8822       0.0082
2459712.87281349      14.8648       0.0082
2459712.87487366      14.8345       0.0082
2459712.87692226      14.8196       0.0082
2459712.87898243      14.7987       0.0082
2459712.88103103      14.7760       0.0082
2459712.88309120      14.7485       0.0082
2459712.88515137      14.7269       0.0082
2459712.88719997      14.7139       0.0082
2459712.88926015      14.7021       0.0082
2459712.89130874      14.6862       0.0082
2459712.89336892      14.6916       0.0082
2459712.89541751      14.6614       0.0073
2459712.89747769      14.6554       0.0082
2459712.89952628      14.6411       0.0082
2459712.90158646      14.6313       0.0082
2459712.90363505      14.6353       0.0073
2459712.90569523      14.6303       0.0073
2459712.90774382      14.6183       0.0073
2459712.91034798      14.6292       0.0073
2459712.91240815      14.6215       0.0073
2459712.91446832      14.6149       0.0073
2459712.91651692      14.6027       0.0073
2459712.91857709      14.6123       0.0073
2459712.92063726      14.6049       0.0073
2459712.92268586      14.6219       0.0073
2459712.92474603      14.6169       0.0073
2459712.92680620      14.6330       0.0073
2459712.92885480      14.6322       0.0082
2459712.93091498      14.6368       0.0082
2459712.93297515      14.6424       0.0082
2459712.93502375      14.6487       0.0082
2459712.93708392      14.6535       0.0073
2459712.93914409      14.6602       0.0092
2459712.94119269      14.6757       0.0082
2459712.94325286      14.6578       0.0092
2459712.94531303      14.6927       0.0092
2459712.94737320      14.7128       0.0102
2459712.94942180      14.7066       0.0133
2459712.95148197      14.7163       0.0112
